AD,Full-flowering date (DOY),Full-flowering date,Source code,Data type code,Reference Name
1736,106,415,4,1,MICHIE-KOKI
1737,93,403,3,2,MYOHOIN-HINAMIKI
1738,101,411,4,2,MYOHOIN-HINAMIKI
1739,110,420,4,2,MICHIE-KOKI
1740,115,424,4,2,MYOHOIN-HINAMIKI
1741,109,419,4,2,MYOHOIN-HINAMIKI
1742,109,419,4,2,MYOHOIN-HINAMIKI
1743,108,418,4,2,MYOHOIN-HINAMIKI
1744,98,407,4,1,MYOHOIN-HINAMIKI
1745,105,415,4,1,MICHIE-KOKI
1746,110,420,4,2,MICHIE-KOKI
1747,101,411,4,1,MICHIE-KOKI
1748,96,405,4,2,MYOHOIN-HINAMIKI
1749,100,410,4,1,MYOHOIN-HINAMIKI
1750,110,420,4,2,MYOHOIN-HINAMIKI
1751,103,413,4,2,NAKANOIN-MICHIEDAKI
1752,110,419,4,1,NAKANOIN-MICHIEDAKI
1753,96,406,4,1,NAKANOIN-MICHIEDAKI
1754,115,425,4,2,SADAYUKI-KYOKI
1755,120,430,4,1,SADAYUKI-KYOKI
1756,109,418,3,1,NORINAGA-ZAIKYO-NIKKI
1757,112,422,4,2,MYOHOIN-HINAMIKI
1758,101,411,4,2,MYOHOIN-HINAMIKI
1759,109,419,4,2,MYOHOIN-HINAMIKI
1760,103,412,4,2,MYOHOIN-HINAMIKI
1761,89,330,4,2,MYOHOIN-HINAMIKI
1762,106,416,4,2,MYOHOIN-HINAMIKI
1763,112,422,4,1,MYOHOIN-HINAMIKI
1764,98,407,4,2,GOSAKURAMACHI-TENNNOU-SHINKI
1765,106,416,4,2,GOSAKURAMACHI-TENNNOU-SHINKI
1766,113,423,4,2,GOSAKURAMACHI-TENNNOU-SHINKI
1767,101,411,4,2,GOSAKURAMACHI-TENNNOU-SHINKI
1768,117,426,4,1,SADAHARU-KYOKI
1769,105,415,6,2,YANAGIHARA-KOREMITSU-NIKKI
1770,105,415,4,2,(SHIRYO-KOHON)
1771,104,414,4,2,(SHIRYO-KOHON)
1772,106,415,4,2,GOSAKURAMACHI-TENNNOU-SHINKI
1773,100,410,3,2,ZOKU-SHIGUSHO
1774,110,420,4,2,GOSAKURAMACHI-TENNNOU-SHINKI
1775,99,409,4,2,GOMOMOZONO-TENNNOU-SHINKI
1776,108,417,4,2,TERUYOSHI-KOKI
1777,104,414,3,1,MORIYAMA-TAKAMORI-NIKKI
1778,111,421,4,3,TERUYOSHI-KOKI
1779,96,406,4,2,MYOHOIN-HINAMIKI
1780,109,418,4,2,TERUYOSHI-KOKI
1781,91,401,4,3,MYOHOIN-HINAMIKI
1782,109,419,4,2,TERUYOSHI-KOKI
1783,103,413,3,1,SUGIURAKE-NIKKI
1784,105,414,3,1,SUGIURAKE-NIKKI
1785,108,418,3,1,SUGIURAKE-NIKKI
1786,106,416,3,1,SUGIURAKE-NIKKI
1787,105,415,3,1,SUGIURAKE-NIKKI
1788,109,418,4,1,TERUYOSHI-KOKI
1789,106,416,4,1,KOUKANSIYU-NIKKI
1790,119,429,4,2,SUGIURAKE-NIKKI
1791,99,409,3,1,SUGIURAKE-NIKKI
1792,101,410,4,1,TERUYOSHI-KOKI
1793,106,416,4,2,TERUYOSHI-KOKI
1794,104,414,3,1,SUGIURAKE-NIKKI
1795,113,423,4,1,TERUYOSHI-KOKI
1796,103,412,4,2,SUGIURAKE-NIKKI
1797,97,407,4,2,TADAYOSHI-KOKI
1798,110,420,3,1,SUGIURAKE-NIKKI
1799,103,413,3,1,SUGIURAKE-NIKKI
1800,103,413,3,1,SUGIURAKE-NIKKI
1801,105,415,3,1,SUGIURAKE-NIKKI
1802,96,406,4,1,SUGIURAKE-NIKKI
1803,110,420,3,1,SUGIURAKE-NIKKI
1804,104,413,3,1,SUGIURAKE-NIKKI
1805,93,403,3,1,SUGIURAKE-NIKKI
1806,114,424,3,1,SUGIURAKE-NIKKI
1807,116,426,3,1,SUGIURAKE-NIKKI
1808,98,407,3,1,SUGIURAKE-NIKKI
1809,107,417,3,1,SUGIURAKE-NIKKI
1810,100,410,3,1,SUGIURAKE-NIKKI
1811,110,420,3,1,SUGIURAKE-NIKKI
1812,120,429,3,1,SUGIURAKE-NIKKI
1813,107,417,4,2,SANEHISA-KYOKI
1814,113,423,3,1,RAI-SANYO-NIPPU
1815,111,421,4,1,SADANAKA-KYOKI
1816,103,412,4,1,HARU-NO-NISHIKI
1817,110,420,4,1,SADANAKA-KYOKI
1818,106,416,4,1,HIRAMATSUKE-NIKKI
1819,106,416,3,1,RAI-BAISHI-NIKKI
1820,95,404,3,2,RAI-SANYO-NIPPU
1821,109,419,4,2,SANEHISA-KYOKI
1822,102,412,3,2,RAI-SANYO-NIPPU
1823,106,416,3,2,RAI-SANYO-NIPPU
1824,108,417,3,1,RAI-BAISHI-NIKKI
1825,114,424,4,2,SANEHISA-KYOKI
1826,109,419,3,2,RAI-SANYO-NIPPU
1827,100,410,3,2,RAI-BAISHI-NIKKI
1828,113,422,3,2,RAI-SANYO-NIPPU
1829,112,422,3,1,RAI-BAISHI-NIKKI
1830,105,415,3,2,RAI-SANYO-NIPPU
1831,114,424,3,2,RAI-SANYO-NIPPU
1832,113,422,3,1,GAKUSUI-NIKKI
1833,107,417,3,2,GAKUSUI-NIKKI
1834,111,421,3,2,SUGIURAKE-NIKKI
1835,112,422,3,2,SUGIURAKE-NIKKI
1836,112,421,4,1,FUDEMAKASE
1837,111,421,3,2,SUGIURAKE-NIKKI
1838,109,419,3,2,SUGIURAKE-NIKKI
1839,120,430,3,2,SUGIURAKE-NIKKI
1840,105,414,3,2,SUGIURAKE-NIKKI
1841,107,417,3,2,KYOJIN-HOSSINNO-NIKKI
1842,96,406,3,2,KYOJIN-HOSSINNO-NIKKI
1843,106,416,4,1,SANEAKIRA-KYOKI
1844,106,415,4,2,SANEAKIRA-KYOKI
1845,102,412,4,2,SANEAKIRA-KYOKI
1846,98,408,4,4,TEIEN-EISO
1847,107,417,1,1,MADENOKOJI-NIKKI
1848,102,411,3,2,MIAKE-SHONOSUKE-NIKKI
1849,100,410,4,1,SANEAKIRA-KYOKI
1850,109,419,3,1,SUGIURAKE-NIKKI
1851,102,412,1,2,MADENOKOJI-NIKKI
1852,113,422,4,1,SADANAKA-KYOKI
1853,102,412,1,1,MADENOKOJI-NIKKI
1854,102,412,3,2,TAKOYAKUSHI-MACHINIKKI
1855,101,411,4,1,SADANAKA-KYOKI
1856,111,420,7,1,TAKAGI-ZAICHU-NIKKI
1857,108,418,4,1,HANA-NO-SHITABUSHI
1858,104,414,7,1,TAKAGI-ZAICHU-NIKKI
1859,110,420,3,2,NAKAYAMAISAKO-NIKKI
1860,113,422,7,2,TAKAGI-ZAICHU-NIKKI
1861,100,410,7,1,TAKAGI-ZAICHU-NIKKI
1862,117,427,3,2,KOMEI-TENNOKI
1863,118,428,4,4,YATAKA-SHU
1864,105,414,1,1,MADENOKOJI-NIKKI
1865,97,407,7,1,TAKAGI-ZAICHU-NIKKI
1866,102,412,3,2,KOMEI-TENNOKI
1867,101,411,4,2,OZAKITADAMASA-NIKKI
1868,104,413,7,2,GAKKAI-NICHIROKU
1869,105,415,7,2,TAKAGI-ZAICHU-NIKKI
1870,99,409,7,1,TAKAGI-ZAICHU-NIKKI
1871,104,414,7,1,TAKAGI-ZAICHU-NIKKI
1872,,,,,-
1873,104,414,7,2,HAYAMIKE-NIKKI
1874,107,417,7,2,HAYAMIKE-NIKKI
1875,103,413,7,2,HAYAMIKE-NIKKI
1876,111,420,7,2,HAYAMIKE-NIKKI
1877,104,414,3,1,SUGIURAKE-NIKKI
1878,101,411,7,2,HAYAMIKE-NIKKI
1879,102,412,3,2,SUGIURAKE-NIKKI
1880,110,419,3,2,SUGIURAKE-NIKKI
1881,112,422,3,1,UEKI-SHISEI-NIKKI
1882,97,407,3,1,SUGIURAKE-NIKKI
1883,107,417,3,2,SUGIURAKE-NIKKI
1884,109,418,3,2,SUGIURAKE-NIKKI
1885,113,423,4,2,NEWS-PAPER(ARASHIYAMA)
1886,108,418,3,2,SUGIURAKE-NIKKI
1887,109,419,4,2,NEWS-PAPER(ARASHIYAMA)
1888,107,416,4,0,NEWS-PAPER(ARASHIYAMA)
1889,109,419,4,0,NEWS-PAPER(ARASHIYAMA)
1890,98,408,4,0,UEKI-SHISEI-NIKKI
1891,99,409,4,0,NEWS-PAPER(ARASHIYAMA)
1892,115,424,4,0,NEWS-PAPER(ARASHIYAMA)
1893,109,419,4,0,NEWS-PAPER(ARASHIYAMA)
1894,98,408,4,0,NEWS-PAPER(ARASHIYAMA)
1895,,,,,-
1896,106,415,4,0,NEWS-PAPER(ARASHIYAMA)
1897,106,416,4,0,NEWS-PAPER(ARASHIYAMA)
1898,108,418,4,0,NEWS-PAPER(ARASHIYAMA)
1899,99,409,4,0,NEWS-PAPER(ARASHIYAMA)
1900,102,412,4,0,NEWS-PAPER(ARASHIYAMA)
1901,102,412,4,0,NEWS-PAPER(ARASHIYAMA)
1902,98,408,4,0,KYOTO-TETUDO-KANRIKYOKU ADV(ARASHIYAMA)
1903,99,409,4,0,NEWS-PAPER(ARASHIYAMA)
1904,108,417,4,0,NEWS-PAPER(ARASHIYAMA)
1905,105,415,4,0,NEWS-PAPER(ARASHIYAMA)
1906,105,415,4,0,KYOTO-TETUDO-KANRIKYOKU ADV(ARASHIYAMA)
1907,103,413,4,0,KYOTO-TETUDO-KANRIKYOKU ADV(ARASHIYAMA)
1908,102,411,4,0,TETUDOUIN AVD(ARASHIYAMA)
1909,108,418,4,0,TETUDOUIN AVD(ARASHIYAMA)
1910,104,414,4,0,TETUDOUIN AVD(ARASHIYAMA)
1911,98,408,4,0,ARASHIYAMA-TETSUDO ADV(ARASHIYAMA)
1912,105,414,4,0,TETUDOUIN AVD(ARASHIYAMA)
1913,103,413,4,0,SEIBU-TETSUDO-KANRIKYOKU ADV(ARASHIYAMA)
1914,102,412,4,0,KOBE-TETSUDO-KANRIKYOKU ADV(ARASHIYAMA)
1915,102,412,4,0,NEWS-PAPER(ARASHIYAMA)
1916,112,421,4,0,SEIBU-TETSUDO-KANRIKYOKU ADV(ARASHIYAMA)
1917,103,413,4,0,NEWS-PAPER(ARASHIYAMA)
1918,104,414,4,0,SEKI-HAJIME-NIKKI
1919,,,,,-
1920,104,413,4,0,NEWS-PAPER(ARASHIYAMA)
1921,,,,,-
1922,101,411,4,0,KAJII-MOTOJIRO-SHOKAN
1923,97,407,4,0,NEWS-PAPER(ARASHIYAMA)
1924,111,420,4,0,MITAMURA-ENGYO-NIKKI(ARASHIYAMA)
1925,108,418,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1926,108,418,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1927,107,417,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1928,107,416,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1929,103,413,4,0,SHIN-KEIHAN RAILWAY ADV(ARASHIYAMA)
1930,95,405,4,0,SHIN-KEIHAN RAILWAY ADV(ARASHIYAMA)
1931,105,415,4,0,NEWS-PAPER(ARASHIYAMA)
1932,105,414,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1933,106,416,3,0,NEWS-PAPER(ARASHIYAMA)
1934,104,414,4,0,NEWS-PAPER(ARASHIYAMA)
1935,102,412,3,0,NHK(ARASHIYAMA)
1936,111,420,3,0,NHK(ARASHIYAMA)
1937,100,410,4,0,NEWS-PAPER(ARASHIYAMA)
1938,98,408,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1939,104,414,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1940,110,419,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1941,100,410,4,0,KEIHAN RAILWAY ADV(ARASHIYAMA)
1942,96,406,7,0,ASADA-TAKASHI-NIKKI
1943,101,411,7,0,ASADA-TAKASHI-NIKKI
1944,100,409,7,0,ASADA-TAKASHI-NIKKI
1945,,,,,-
1946,97,407,4,0,NEWS-PAPER(ARASHIYAMA)
1947,107,417,4,0,NEWS-PAPER(ARASHIYAMA)
1948,102,411,4,0,NEWS-PAPER(ARASHIYAMA)
1949,107,417,4,0,NEWS-PAPER(ARASHIYAMA)
1950,99,409,4,0,NEWS-PAPET(DAIGO-JI)
1951,98,408,4,0,NEWS-PAPER(ARASHIYAMA)
1952,105,414,3,0,NEWS-PAPER(ARASHIYAMA)
1953,101,411,3,0,NEWS-PAPER(ARASHIYAMA)
1954,98,408,3,0,NEWS-PAPER(ARASHIYAMA)
1955,97,407,3,0,NEWS-PAPER(ARASHIYAMA)
1956,99,408,3,0,NEWS-PAPER(ARASHIYAMA)
1957,103,413,3,0,NEWS-PAPER(ARASHIYAMA)
1958,99,409,3,0,NEWS-PAPER(ARASHIYAMA)
1959,92,402,3,0,NEWS-PAPER(ARASHIYAMA)
1960,95,404,3,0,NEWS-PAPER(ARASHIYAMA)
1961,99,409,3,0,NEWS-PAPER(ARASHIYAMA)
1962,102,412,3,0,NEWS-PAPER(ARASHIYAMA)
1963,101,411,3,0,NEWS-PAPER(ARASHIYAMA)
1964,99,408,3,0,NEWS-PAPER(ARASHIYAMA)
1965,110,420,3,0,NEWS-PAPER(ARASHIYAMA)
1966,97,407,3,0,NEWS-PAPER(ARASHIYAMA)
1967,97,407,3,0,NEWS-PAPER(ARASHIYAMA)
1968,99,408,3,0,NEWS-PAPER(ARASHIYAMA)
1969,101,411,3,0,NEWS-PAPER(ARASHIYAMA)
1970,107,417,3,0,NEWS-PAPER(ARASHIYAMA)
1971,98,408,3,0,NEWS-PAPER(ARASHIYAMA)
1972,99,408,3,0,NEWS-PAPER(ARASHIYAMA)
1973,97,407,3,0,NEWS-PAPER(ARASHIYAMA)
1974,99,409,3,0,NEWS-PAPER(ARASHIYAMA)
1975,100,410,3,0,NEWS-PAPER(ARASHIYAMA)
1976,99,408,3,0,NEWS-PAPER(ARASHIYAMA)
1977,93,403,3,0,NEWS-PAPER(ARASHIYAMA)
1978,104,414,3,0,NEWS-PAPER(ARASHIYAMA)
1979,97,407,3,0,NEWS-PAPER(ARASHIYAMA)
1980,102,411,3,0,NEWS-PAPER(ARASHIYAMA)
1981,99,409,3,0,NEWS-PAPER(ARASHIYAMA)
1982,93,403,3,0,NEWS-PAPER(ARASHIYAMA)
1983,99,409,3,0,NEWS-PAPER(ARASHIYAMA)
1984,109,418,3,0,NEWS-PAPER(ARASHIYAMA)
1985,99,409,3,0,NEWS-PAPER(ARASHIYAMA)
1986,102,412,3,0,NEWS-PAPER(ARASHIYAMA)
1987,95,405,3,0,NEWS-PAPER(ARASHIYAMA)
1988,106,415,3,0,NEWS-PAPER(ARASHIYAMA)
1989,93,403,3,0,NEWS-PAPER(ARASHIYAMA)
1990,88,329,3,0,NEWS-PAPER(ARASHIYAMA)
1991,97,407,4,0,NEWS-PAPER(ARASHIYAMA)
1992,94,403,4,0,NEWS-PAPER(ARASHIYAMA)
1993,97,407,4,0,NEWS-PAPER(ARASHIYAMA)
1994,99,409,4,0,NEWS-PAPER(ARASHIYAMA)
1995,99,409,4,0,NEWS-PAPER(ARASHIYAMA)
1996,103,412,4,0,NEWS-PAPER(ARASHIYAMA)
1997,97,407,4,0,NEWS-PAPER(ARASHIYAMA)
1998,91,401,4,0,NEWS-PAPER(ARASHIYAMA)
1999,94,404,4,0,NEWS-PAPER(ARASHIYAMA)
2000,100,409,4,0,NEWS-PAPER(ARASHIYAMA)
2001,96,406,4,0,NEWS-PAPER(ARASHIYAMA)
2002,91,401,4,0,NEWS-PAPER(ARASHIYAMA)
2003,98,408,4,0,NEWS-PAPER(ARASHIYAMA)
2004,92,401,4,0,NEWS-PAPER(ARASHIYAMA)
2005,99,409,4,0,NEWS-PAPER(ARASHIYAMA)
2006,98,408,5,0,NEWS-PAPER(ARASHIYAMA)
2007,97,407,5,0,NEWS-PAPER(ARASHIYAMA)
2008,95,404,6,0,NEWS-PAPER(ARASHIYAMA)
2009,95,405,6,0,NEWS-PAPER(ARASHIYAMA)
2010,95,405,7,0,NEWS-PAPER(ARASHIYAMA)
2011,99,409,8,0,NEWS-PAPER(ARASHIYAMA)
2012,101,410,8,0,NEWS-PAPER(ARASHIYAMA)
2013,93,403,8,0,NEWS-PAPER(ARASHIYAMA)
2014,94,404,8,0,NEWS-PAPER(ARASHIYAMA)
2015,93,403,8,0,NEWS-PAPER(ARASHIYAMA)
2016,94,404,8,0,NEWS-PAPER(ARASHIYAMA)
2017,99,409,8,0,NEWS-PAPER(ARASHIYAMA)
2018,89,330,8,0,NEWS-PAPER(ARASHIYAMA)
2019,95,405,8,0,NEWS-PAPER(ARASHIYAMA)
2020,92,401,8,0,NEWS-PAPER(ARASHIYAMA)
2021,85,326,8,0,NEWS-PAPER(ARASHIYAMA)
