,woman,district,use.contraception,living.children,age.centered,urban
211,212,6,0,3,11.44,1
212,213,6,1,1,-4.5599,1
213,214,6,0,4,7.44,1
214,215,6,1,4,4.44,1
215,216,6,0,3,-5.56,0
216,217,6,0,4,13.44,0
217,218,6,1,1,-12.56,0
218,219,6,0,4,12.44,0
219,220,6,0,4,-5.5599,0
220,221,6,0,4,8.44,0
221,222,6,0,1,-11.559,0
222,223,6,1,2,-0.5599,0
223,224,6,0,2,-7.56,0
224,225,6,0,2,6.44,0
225,226,6,1,4,4.44,0
226,227,6,1,3,-5.56,0
227,228,6,1,3,-0.5599,0
228,229,6,0,1,-6.56,0
229,230,6,0,3,0.44,0
230,231,6,0,4,13.44,0
231,232,6,0,4,11.44,0
232,233,6,0,1,1.44,0
233,234,6,1,2,-5.5599,0
234,235,6,0,1,-6.56,0
235,236,6,1,3,-4.56,0
236,237,6,0,3,-2.5599,0
237,238,6,1,4,13.44,0
238,239,6,0,1,-9.5599,0
239,240,6,0,1,-11.559,0
240,241,6,0,1,-8.5599,0
241,242,6,0,1,-9.5599,0
242,243,6,0,4,-2.5599,0
243,244,6,0,1,-10.559,0
244,245,6,0,4,18.44,0
245,246,6,1,2,-7.56,0
246,247,6,0,2,-4.5599,0
247,248,6,0,2,-9.5599,0
248,249,6,1,4,-0.56,0
249,250,6,0,1,-8.5599,0
250,251,6,0,2,8.44,0
251,252,6,0,2,-5.5599,0
252,253,6,0,3,5.44,0
253,254,6,0,1,-12.56,0
254,255,6,0,4,16.44,0
255,256,6,0,4,8.44,0
256,257,6,0,4,8.44,0
257,258,6,0,2,-4.5599,0
258,259,6,0,1,-6.56,0
259,260,6,0,3,-2.5599,0
260,261,6,0,4,18.44,0
261,262,6,0,3,18.44,0
262,263,6,0,4,-0.56,0
263,264,6,0,4,8.44,0
264,265,6,0,4,-8.5599,0
265,266,6,0,4,-5.5599,0
266,267,6,1,3,0.44,0
267,268,6,1,4,2.44,0
268,269,6,0,2,-7.56,0
269,270,6,1,4,-2.5599,0
270,271,6,0,4,15.44,0
271,272,6,1,4,10.44,0
272,273,6,0,1,-7.5599,0
273,274,7,0,4,1.44,0
274,275,7,0,2,-8.5599,0
275,276,7,0,2,-7.56,0
276,277,7,0,1,-13.56,0
277,278,7,0,4,-5.5599,0
278,279,7,0,1,-10.559,0
279,280,7,1,4,3.44,0
280,281,7,0,4,11.44,0
281,282,7,1,1,-7.5599,0
282,283,7,0,2,-6.56,0
283,284,7,0,4,-0.5599,0
284,285,7,0,2,2.44,0
285,286,7,1,4,3.44,0
286,287,7,0,4,6.44,0
287,288,7,1,2,-10.559,0
288,289,7,0,3,1.44,0
289,290,7,0,1,-10.559,0
290,291,7,1,1,-8.5599,0
291,292,8,1,1,-10.559,1
292,293,8,1,3,0.44,1
293,294,8,0,1,19.44,0
294,295,8,0,4,9.44,0
295,296,8,1,3,-4.5599,0
296,297,8,0,1,-12.56,0
297,298,8,0,2,-5.5599,0
298,299,8,0,4,11.44,0
299,300,8,1,2,-6.5599,0
300,301,8,0,1,-11.56,0
301,302,8,1,4,7.44,0
302,303,8,0,2,0.44,0
303,304,8,1,4,1.44,0
304,305,8,1,2,-7.5599,0
305,306,8,1,4,5.44,0
306,307,8,0,3,2.44,0
307,308,8,1,2,-7.5599,0
308,309,8,0,4,-1.5599,0
309,310,8,0,1,-9.5599,0
310,311,8,1,2,-6.5599,0
311,312,8,0,1,-7.5599,0
312,313,8,1,4,19.44,0
313,314,8,0,3,-8.5599,0
314,315,8,0,3,-6.5599,0
315,316,8,1,4,19.44,0
316,317,8,1,4,13.44,0
317,318,8,0,2,-9.5599,0
318,319,8,0,1,-6.5599,0
319,320,8,0,4,12.44,0
320,321,8,1,3,0.44,0
321,322,8,0,4,16.44,0
322,323,8,0,2,7.44,0
323,324,8,0,1,-13.56,0
324,325,8,0,2,-3.5599,0
325,326,8,0,1,-6.5599,0
326,327,8,0,1,-9.5599,0
327,328,8,0,4,-2.5599,0
328,329,9,1,4,7.44,1
329,330,9,1,3,-3.5599,1
330,331,9,0,4,16.44,1
331,332,9,0,3,1.44,0
332,333,9,1,4,-4.5599,0
333,334,9,0,4,-3.5599,0
334,335,9,1,2,-9.5599,0
335,336,9,0,4,-0.5599,0
336,337,9,1,3,2.44,0
337,338,9,0,1,-11.559,0
338,339,9,0,4,10.44,0
339,340,9,0,3,-5.5599,0
340,341,9,0,2,-6.56,0
341,342,9,1,4,10.44,0
342,343,9,0,3,-10.559,0
343,344,9,0,4,15.44,0
344,345,9,0,4,-5.5599,0
345,346,9,0,1,-12.56,0
346,347,9,0,1,-12.56,0
347,348,9,0,2,-8.5599,0
348,349,9,1,3,-4.5599,0
349,350,9,0,4,10.44,0
350,351,9,0,4,11.44,0
351,352,10,0,3,18.44,0
352,353,10,0,1,-11.559,0
353,354,10,0,2,-6.5599,0
354,355,10,0,4,3.44,0
355,356,10,0,4,6.44,0
356,357,10,0,1,13.44,0
357,358,10,0,4,15.44,0
358,359,10,1,2,3.44,0
359,360,10,0,4,15.44,0
360,361,10,0,3,19.44,0
361,362,10,0,1,12.44,0
362,363,10,0,1,-12.559,0
363,364,10,0,1,-9.5599,0
364,365,11,0,1,-9.5599,0
365,366,11,0,1,-8.5599,0
366,367,11,0,2,-5.5599,0
367,368,11,0,2,18.44,0
368,369,11,0,1,-8.5599,0
369,370,11,0,1,-9.5599,0
370,371,11,0,1,-12.559,0
371,372,11,0,1,3.44,0
372,373,11,0,1,-8.5599,0
373,374,11,0,4,19.44,0
374,375,11,0,1,-3.5599,0
375,376,11,0,2,-5.5599,0
376,377,11,0,2,2.44,0
377,378,11,0,2,0.44,0
378,379,11,0,1,-11.559,0
379,380,11,0,3,-2.5599,0
380,381,11,0,4,2.44,0
381,382,11,0,2,-8.5599,0
382,383,11,0,1,-8.5599,0
383,384,11,0,1,-6.56,0
384,385,11,0,4,18.44,0
385,386,12,1,4,9.44,1
386,387,12,0,4,18.44,1
387,388,12,0,3,-5.5599,1
388,389,12,1,1,4.44,1
389,390,12,0,4,-3.5599,1
390,391,12,0,4,17.44,1
391,392,12,1,4,9.44,0
392,393,12,0,2,-7.5599,0
393,394,12,0,4,19.44,0
394,395,12,0,4,6.44,0
395,396,12,0,1,-1.5599,0
396,397,12,0,4,3.44,0
397,398,12,1,1,-5.5599,0
398,399,12,0,4,5.44,0
399,400,12,1,1,-11.559,0
400,401,12,0,4,-1.5599,0
401,402,12,0,4,2.44,0
402,403,12,0,3,-5.5599,0
403,404,12,1,2,-1.5599,0
404,405,12,0,4,5.44,0
405,406,12,1,4,18.44,0
406,407,12,0,4,10.44,0
407,408,12,1,4,4.44,0
408,409,12,0,4,3.44,0
409,410,12,1,4,11.44,0
410,411,12,0,3,-2.5599,0
411,412,12,0,3,-1.5599,0
412,413,12,1,4,8.44,0
413,414,12,0,1,-4.5599,0
414,415,13,0,4,10.44,1
415,416,13,0,1,-11.559,1
416,417,13,1,4,6.44,1
417,418,13,1,1,-7.5599,1
418,419,13,0,2,-12.559,1
419,420,13,1,2,-3.5599,1
420,421,13,0,1,-8.5599,1
421,422,13,0,1,-5.5599,1
422,423,13,0,4,-2.5599,0
423,424,13,0,4,16.44,0
424,425,13,1,4,0.44,0
425,426,13,1,4,-1.5599,0
426,427,13,0,1,-2.5599,0
427,428,13,0,4,15.44,0
428,429,13,0,2,0.44,0
429,430,13,1,3,-7.5599,0
430,431,13,0,1,10.44,0
431,432,13,0,1,-7.5599,0
432,433,13,0,4,3.44,0
433,434,13,1,4,0.44,0
434,435,13,0,1,13.44,0
435,436,13,1,4,4.44,0
436,437,13,1,4,12.44,0
437,438,13,1,2,-3.5599,0
438,439,14,0,1,-9.5599,1
439,440,14,1,1,-10.559,1
440,441,14,0,2,-10.559,1
441,442,14,0,2,-11.559,1
442,443,14,1,1,-11.559,1
443,444,14,0,2,2.44,1
444,445,14,0,1,7.44,1
445,446,14,0,1,0.44,1
446,447,14,0,2,-3.5599,1
447,448,14,1,1,-7.5599,1
448,449,14,1,3,-2.5599,1
449,450,14,0,4,3.44,1
450,451,14,1,2,3.44,1
451,452,14,1,1,-11.559,1
452,453,14,1,2,-4.5599,1
453,454,14,0,1,-10.559,1
454,455,14,1,4,12.44,1
455,456,14,0,2,-7.5599,1
456,457,14,1,4,2.44,1
457,458,14,0,1,-10.559,1
458,459,14,0,1,-10.559,1
459,460,14,1,1,-8.5599,1
460,461,14,0,4,8.44,1
461,462,14,0,1,-12.559,1
462,463,14,0,3,-6.56,1
463,464,14,1,1,-8.5599,1
464,465,14,1,4,14.44,1
465,466,14,1,4,16.44,1
466,467,14,1,4,6.44,1
467,468,14,1,4,16.44,1
468,469,14,1,1,-11.559,1
469,470,14,1,4,3.44,1
470,471,14,1,2,-5.5599,1
471,472,14,1,1,-6.5599,1
472,473,14,1,3,-2.5599,1
473,474,14,1,3,-7.5599,1
474,475,14,1,4,-1.56,1
475,476,14,1,3,2.44,1
476,477,14,1,4,5.44,1
477,478,14,0,4,0.44,1
478,479,14,1,4,9.44,1
479,480,14,1,4,4.44,1
480,481,14,1,1,-13.559,1
481,482,14,1,1,-13.559,1
482,483,14,1,4,6.44,1
483,484,14,0,1,2.44,1
484,485,14,0,1,-8.5599,1
485,486,14,0,4,12.44,1
486,487,14,1,1,-9.5599,1
487,488,14,1,4,10.44,1
488,489,14,1,1,-11.559,1
489,490,14,0,4,2.44,1
490,491,14,0,1,-10.559,1
491,492,14,1,1,-8.5599,1
492,493,14,1,4,2.44,1
493,494,14,1,4,4.44,1
494,495,14,1,4,7.44,1
495,496,14,0,2,-10.559,1
496,497,14,0,1,-6.5599,1
497,498,14,1,3,3.44,1
498,499,14,1,1,-9.5599,1
499,500,14,0,2,6.44,1
500,501,14,1,3,-4.5599,1
501,502,14,1,2,-5.5599,1
502,503,14,0,2,-8.5599,1
503,504,14,1,3,0.44,1
504,505,14,1,4,17.44,1
505,506,14,1,3,-7.5599,1
506,507,14,0,4,14.44,1
507,508,14,0,2,-4.5599,1
508,509,14,1,3,3.44,1
509,510,14,1,2,-1.5599,1
510,511,14,1,2,-8.5599,1
511,512,14,1,4,0.44,1
512,513,14,1,2,-6.5599,1
513,514,14,1,4,13.44,1
514,515,14,1,1,0.44,1
515,516,14,1,4,7.44,1
516,517,14,1,3,0.44,1
517,518,14,0,1,-1.5599,1
518,519,14,1,1,-12.559,1
519,520,14,0,3,18.44,1
520,521,14,1,4,7.44,1
521,522,14,1,1,-8.5599,1
522,523,14,1,4,11.44,1
523,524,14,1,4,13.44,1
524,525,14,1,2,-7.5599,1
525,526,14,0,1,-10.559,1
526,527,14,1,2,-3.5599,1
527,528,14,1,2,-7.5599,1
528,529,14,1,3,-4.5599,1
529,530,14,1,1,-8.5599,1
530,531,14,0,3,-2.5599,1
531,532,14,1,1,-9.5599,1
532,533,14,1,1,0.44,1
533,534,14,0,1,-5.5599,1
534,535,14,1,1,-3.5599,1
535,536,14,1,2,-10.559,1
536,537,14,0,3,0.44,1
537,538,14,1,4,8.44,1
538,539,14,1,3,4.44,1
539,540,14,1,2,2.44,0
540,541,14,1,2,-5.5599,0
541,542,14,0,3,-6.5599,0
542,543,14,0,3,6.44,0
543,544,14,0,2,-7.5599,0
544,545,14,0,2,-1.5599,0
545,546,14,0,4,-3.5599,0
546,547,14,1,4,10.44,0
547,548,14,0,4,18.44,0
548,549,14,1,1,-12.559,0
549,550,14,0,4,17.44,0
550,551,14,1,4,-5.5599,0
551,552,14,0,1,-12.559,0
552,553,14,0,1,-10.56,0
553,554,14,0,4,0.44,0
554,555,14,0,2,-8.5599,0
555,556,14,1,4,17.44,0
556,557,15,1,4,14.44,1
557,558,15,0,1,-13.559,1
558,559,15,0,4,1.44,1
559,560,15,0,4,2.44,1
560,561,15,1,4,-0.5599,1
561,562,15,0,4,19.44,1
562,563,15,0,2,0.44,1
563,564,15,1,1,-4.5599,1
564,565,15,1,3,-3.5599,0
565,566,15,0,1,-9.5599,0
566,567,15,0,3,10.44,0
567,568,15,0,2,4.44,0
568,569,15,1,4,8.44,0
569,570,15,0,2,-5.5599,0
570,571,15,0,1,-2.5599,0
571,572,15,0,1,-7.56,0
572,573,15,0,1,-12.559,0
573,574,15,1,2,-4.5599,0
574,575,15,0,2,-8.5599,0
575,576,15,0,1,-10.559,0
576,577,15,1,3,-2.5599,0
577,578,15,1,2,-5.5599,0
578,579,16,1,3,-0.5599,1
579,580,16,1,1,-9.5599,1
580,581,16,0,1,-12.56,0
581,582,16,0,1,-12.56,0
582,583,16,1,1,-10.559,0
583,584,16,0,1,-12.56,0
584,585,16,1,1,-8.5599,0
585,586,16,1,3,4.44,0
586,587,16,1,3,17.44,0
587,588,16,1,3,8.44,0
588,589,16,0,4,4.44,0
589,590,16,1,2,-10.559,0
590,591,16,0,1,-10.559,0
591,592,16,0,1,-13.559,0
592,593,16,0,2,0.44,0
593,594,16,1,4,10.44,0
594,595,16,0,1,-12.56,0
595,596,16,0,3,18.44,0
596,597,16,1,1,-10.559,0
597,598,16,1,2,-6.5599,0
598,599,17,0,1,-11.559,0
599,600,17,0,1,-12.559,0
600,601,17,1,4,-0.5599,0
601,602,17,1,4,4.44,0
602,603,17,1,4,5.44,0
603,604,17,0,2,-7.5599,0
604,605,17,0,2,-5.5599,0
605,606,17,0,4,15.44,0
606,607,17,0,1,-4.5599,0
607,608,17,0,1,-12.559,0
608,609,17,0,4,-5.5599,0
609,610,17,0,3,-2.5599,0
610,611,17,0,1,-12.559,0
611,612,17,0,1,1.44,0
612,613,17,1,4,7.44,0
613,614,17,0,4,9.44,0
614,615,17,1,4,-2.5599,0
615,616,17,0,4,-2.5599,0
616,617,17,0,4,0.44,0
617,618,17,1,3,-0.5599,0
618,619,17,0,4,-5.5599,0
619,620,17,1,4,0.44,0
620,621,17,0,4,11.44,0
621,622,17,0,4,9.44,0
622,623,18,0,1,-1.56,1
623,624,18,1,2,-5.5599,1
624,625,18,0,3,1.44,1
625,626,18,0,3,-1.5599,1
626,627,18,0,1,-9.5599,1
627,628,18,1,4,2.44,1
628,629,18,0,1,-7.5599,1
629,630,18,0,1,-11.559,1
630,631,18,1,3,0.44,1
631,632,18,1,4,15.44,1
632,633,18,0,1,-7.5599,1
633,634,18,1,1,-8.5599,1
634,635,18,1,1,-9.5599,1
635,636,18,1,4,8.44,1
636,637,18,0,1,-12.559,0
637,638,18,1,2,-6.5599,0
638,639,18,0,1,-10.559,0
639,640,18,0,2,-8.5599,0
640,641,18,0,1,-8.5599,0
641,642,18,1,1,-13.56,0
642,643,18,1,4,-0.5599,0
643,644,18,0,3,1.44,0
644,645,18,0,1,-13.56,0
645,646,18,0,1,-11.559,0
646,647,18,0,4,15.44,0
647,648,18,1,4,-5.5599,0
648,649,18,0,4,12.44,0
649,650,18,0,4,17.44,0
650,651,18,1,3,-5.5599,0
651,652,18,1,4,6.44,0
652,653,18,0,4,8.44,0
653,654,18,0,3,17.44,0
654,655,18,0,3,-2.5599,0
655,656,18,0,4,4.44,0
656,657,18,0,1,0.44,0
657,658,18,1,2,-13.559,0
658,659,18,0,4,-2.5599,0
659,660,18,0,4,1.44,0
660,661,18,0,1,17.44,0
661,662,18,0,3,-6.5599,0
662,663,18,0,3,-6.5599,0
663,664,18,0,4,5.44,0
664,665,18,1,2,-6.5599,0
665,666,18,0,1,-4.5599,0
666,667,18,0,4,7.44,0
667,668,18,0,4,16.44,0
668,669,18,1,1,-10.559,0
669,670,19,0,1,-2.5599,1
670,671,19,1,2,-11.559,1
671,672,19,1,4,-1.5599,1
672,673,19,1,1,-12.559,1
673,674,19,0,2,18.44,0
674,675,19,1,4,2.44,0
675,676,19,1,4,-0.5599,0
676,677,19,0,1,-6.5599,0
677,678,19,0,4,3.44,0
678,679,19,0,4,11.44,0
679,680,19,0,2,14.44,0
680,681,19,0,2,5.44,0
681,682,19,0,1,-9.5599,0
682,683,19,0,1,-2.5599,0
683,684,19,0,2,-6.5599,0
684,685,19,1,1,0.44,0
685,686,19,0,1,-1.5599,0
686,687,19,0,1,-10.56,0
687,688,19,1,4,3.44,0
688,689,19,1,2,3.44,0
689,690,19,1,4,2.44,0
690,691,19,0,2,-5.5599,0
691,692,19,0,4,-5.5599,0
692,693,19,0,4,0.44,0
693,694,19,1,4,12.44,0
694,695,19,0,4,5.44,0
695,696,20,0,3,-1.5599,0
696,697,20,0,3,3.44,0
697,698,20,1,1,-12.56,0
698,699,20,1,3,-0.5599,0
699,700,20,0,4,17.44,0
700,701,20,1,1,-12.56,0
701,702,20,1,1,-10.559,0
702,703,20,0,3,-5.5599,0
703,704,20,0,4,11.44,0
704,705,20,0,1,-12.56,0
705,706,20,0,1,-13.559,0
706,707,20,0,1,8.44,0
707,708,20,0,1,-13.559,0
708,709,20,1,4,12.44,0
709,710,20,1,4,-1.5599,0
710,711,21,0,4,18.44,1
711,712,21,0,4,19.44,1
712,713,21,1,1,-12.559,1
713,714,21,0,1,-13.56,1
714,715,21,0,4,-3.5599,1
715,716,21,0,4,14.44,1
716,717,21,0,4,12.44,1
717,718,21,0,2,-6.5599,1
718,719,21,0,3,7.44,0
719,720,21,1,1,1.44,0
720,721,21,0,2,-7.5599,0
721,722,21,1,3,-1.5599,0
722,723,21,0,3,-2.5599,0
723,724,21,1,2,-4.5599,0
724,725,21,1,1,2.44,0
725,726,21,1,2,-0.5599,0
726,727,21,1,1,-7.5599,0
727,728,21,0,1,-10.559,0
728,729,22,0,2,4.44,0
729,730,22,1,3,-5.5599,0
730,731,22,0,1,19.44,0
731,732,22,0,4,-1.5599,0
732,733,22,0,1,-10.559,0
733,734,22,0,4,-4.5599,0
734,735,22,0,4,17.44,0
735,736,22,1,2,-3.5599,0
736,737,22,0,3,-3.56,0
737,738,22,0,3,3.44,0
738,739,22,0,2,-8.5599,0
739,740,22,0,3,-1.56,0
740,741,22,0,4,5.44,0
741,742,22,0,1,-11.559,0
742,743,22,0,4,17.44,0
743,744,22,0,4,6.44,0
744,745,22,0,4,0.44,0
745,746,22,0,4,0.44,0
746,747,22,1,3,-4.5599,0
747,748,22,1,2,-1.5599,0
748,749,23,0,3,-4.5599,0
749,750,23,0,1,-8.5599,0
750,751,23,1,3,-1.5599,0
751,752,23,0,3,-2.5599,0
752,753,23,0,4,16.44,0
753,754,23,0,4,-1.5599,0
754,755,23,0,3,-5.56,0
755,756,23,0,2,10.44,0
756,757,23,1,4,10.44,0
757,758,23,0,1,-11.559,0
758,759,23,0,4,8.44,0
759,760,23,1,4,7.44,0
760,761,23,0,1,-11.559,0
761,762,23,1,3,5.44,0
762,763,23,0,4,8.44,0
763,764,24,0,1,-8.5599,0
764,765,24,0,4,-3.5599,0
765,766,24,0,2,-6.5599,0
766,767,24,0,4,17.44,0
767,768,24,0,1,-11.559,0
768,769,24,0,1,-10.559,0
769,770,24,0,4,5.44,0
770,771,24,0,4,9.44,0
771,772,24,0,4,4.44,0
772,773,24,0,1,6.44,0
773,774,24,1,4,6.44,0
774,775,24,0,1,-13.56,0
775,776,24,0,2,-4.5599,0
776,777,24,0,4,15.44,0
777,778,25,0,1,-8.5599,1
778,779,25,1,3,-5.5599,1
779,780,25,0,1,-3.5599,1
780,781,25,1,4,1.44,1
781,782,25,0,1,-1.5599,1
782,783,25,1,2,9.44,1
783,784,25,1,4,8.44,1
784,785,25,1,2,-0.5599,1
785,786,25,0,4,-5.56,1
786,787,25,0,1,0.44,1
787,788,25,1,4,-1.5599,1
788,789,25,0,1,-11.559,1
789,790,25,0,1,-11.559,1
790,791,25,1,4,4.44,1
791,792,25,0,1,-9.5599,1
792,793,25,0,1,-10.559,1
793,794,25,0,2,2.44,1
794,795,25,1,2,-7.5599,1
795,796,25,1,4,18.44,0
796,797,25,0,2,-6.5599,0
797,798,25,0,4,-2.5599,0
798,799,25,1,2,-3.5599,0
799,800,25,1,2,-8.5599,0
800,801,25,1,3,6.44,0
801,802,25,0,1,-13.56,0
802,803,25,0,4,3.44,0
803,804,25,0,4,3.44,0
804,805,25,0,4,1.44,0
805,806,25,0,1,-8.5599,0
806,807,25,1,4,0.44,0
807,808,25,1,4,4.44,0
808,809,25,0,3,-5.5599,0
809,810,25,1,4,5.44,0
810,811,25,1,2,-10.559,0
811,812,25,1,4,-9.5599,0
812,813,25,0,4,4.44,0
813,814,25,1,3,1.44,0
814,815,25,0,1,-12.56,0
815,816,25,0,3,-6.5599,0
816,817,25,0,2,-4.5599,0
817,818,25,0,1,-1.5599,0
818,819,25,1,3,5.44,0
819,820,25,1,4,5.44,0
820,821,25,0,3,2.44,0
821,822,25,1,4,10.44,0
822,823,25,0,1,-11.56,0
